complaint_text,officer,priority,eta_days
Multiple potholes on the main arterial road on the highway service road causing traffic slowdown since this morning.,Road Officer,Medium,8
Frozen pipe suspected on Oak Avenue — no water flow in the entire building for the past 2 days.,Water Officer,High,2
Illegal dumping of construction waste noticed on Maple Street since last Monday — blocking pedestrian path.,Sanitation Officer,Medium,4
We have noticed that street light is on during the day and off at night near the bus depot — sensor malfunction.,Electrical Officer,Low,6
No water connection in our area on Park Lane since this morning — taps are completely dry.,Water Officer,High,2
This problem has been ignored for too long — road markings completely faded near the hospital — causing confusion especially at night since this morning.,Road Officer,Low,14
The situation is getting worse — dirty brown water is coming from the taps near the main market since this morning — not safe to drink.,Water Officer,High,1
Open drain on Park Lane overflowing for 10 days now — sewage water entering homes.,Drainage Officer,High,2
We have noticed that dirty brown water is coming from the taps in the residential colony for the past 2 days — not safe to drink.,Water Officer,High,1
Construction debris left on highway in Sector 4 not cleared by contractor for the past month.,Road Officer,Medium,9
"Kindly send someone to fix this, damaged road on the highway service road has not been repaired despite multiple complaints for over a week.",Road Officer,Medium,11
Raised speed breaker near the playground is not painted — invisible at night and causing accidents.,Road Officer,High,6
Drainage canal near near the temple needs urgent desilting — overflow risk before monsoon.,Drainage Officer,Medium,5
Power outage affecting entire neighbourhood on MG Road for the past 3 days — no electricity at all.,Electrical Officer,High,3
This problem has been ignored for too long — litter basket cover broken at on Park Lane — waste exposed to rain and pests since the rain last week.,Sanitation Officer,Medium,5
Drainage canal near on the highway service road needs urgent desilting — overflow risk before monsoon.,Drainage Officer,Medium,5
Please look into this urgently — highway onramp on Oak Avenue has surface cracking — life-threatening for heavy vehicles since the rain last week.,Road Officer,High,6
Residents are complaining that the overhead water tank at near the vegetable market is overflowing and wasting water for the last 4 days.,Water Officer,Low,6
Street light is on during the day and off at night near the main market — sensor malfunction.,Electrical Officer,Medium,6
The overhead water tank at near the flyover is overflowing and wasting water for the past month.,Water Officer,Low,6
Residents are complaining that commercial establishment on 5th and Broadway dumping garbage on the street after hours for the past 3 days.,Sanitation Officer,High,3
High voltage buzzing sound from transformer near the school since this morning — people are afraid.,Electrical Officer,High,1
Road markings completely faded near the hospital — causing confusion especially at night since the rain last week.,Road Officer,Low,15
I wanted to bring to your attention that gutter near the school choked with debris — overflow during monsoon causing road damage since the rain last week.,Drainage Officer,Medium,4
I would like to report that illegal dumping of construction waste noticed on Oak Avenue for the past month — blocking pedestrian path.,Sanitation Officer,Medium,4
Residents are complaining that guardrail on the highway in Ward 7 is broken — vehicles at risk of going off road for the past 2 days.,Road Officer,High,5
Illegal connection to main sewer near in Sector 4 causing backup for residents for the past 3 days.,Drainage Officer,Medium,5
Expressway pothole in Block C of the housing society is very deep — tyres of vehicles get damaged daily.,Road Officer,High,5
Please take immediate action — waterlogging reported near the temple every monsoon — permanent drainage solution needed.,Drainage Officer,Medium,6
Damaged road near the school has not been repaired despite multiple complaints for over a week.,Road Officer,Medium,11
Manhole cover missing on on 5th and Broad stretchway — open pit is extremely dangerous for pedestrians for the last 4 days.,Road Officer,High,4
Children falling into open drainage pit on Maple Street — emergency cover needed for several days.,Drainage Officer,High,2
"As a resident, I urge you to address the fact that open drain on Cedar Road backing up since this morning — sewage water entering homes.",Drainage Officer,High,2
"Kindly send someone to fix this, water tanker not arriving on schedule in Sector 4 for over a week — community is suffering.",Water Officer,Medium,3
This problem has been ignored for too long — litter basket in the residential colony is overflowing — no collection in days since the rain last week.,Sanitation Officer,Medium,4
"As a resident, I urge you to address the fact that litter basket in Block C of the housing society is brimming over — no collection in days for over a week.",Sanitation Officer,Medium,4
"Kindly send someone to fix this, high voltage buzzing sound from transformer near the main market since this morning — people are afraid.",Electrical Officer,High,2
This is a serious issue — illegal connection to main sewer near on 5th and Broadway causing backup for residents since last Monday.,Drainage Officer,Medium,5
Power supply interruption affecting hospitals and essential services near the bus depot since last night.,Electrical Officer,High,2
There is a major pipe burst on Park Lane and water is gushing onto the road for the last 4 days.,Water Officer,High,1
Commercial establishment near the railway crossing dumping garbage on the street after hours since the rain last week.,Sanitation Officer,High,3
Sewage pipe burst near the railway crossing — raw sewage flowing on road surface for over a week.,Drainage Officer,High,1
I wanted to bring to your attention that foul smell from garbage on Cedar Road — unbearable for residents nearby for the last 4 days.,Sanitation Officer,High,2
Road collapse due to waterlogging on Elm Street — several vehicles got stuck since last Monday.,Road Officer,High,5
This is a serious issue — pump house near the vegetable market is not functioning properly — water supply affected for the past month.,Water Officer,Medium,4
Open defecation being practiced near on Station Road — very unhygienic condition since the rain last week.,Sanitation Officer,High,2
Commercial establishment near the main market dumping trash on the street after hours since last night.,Sanitation Officer,High,2
Manhole cover missing on in Ward 7 — open pit is extremely unsafe for pedestrians since last Monday.,Road Officer,High,5
Residents are complaining that stormwater drain blocked on Park Lane — entire road flooded every time it rains since the rain last week.,Drainage Officer,High,2
Electrical meter board at on Park Lane appears to have faulty wiring — sparks visible.,Electrical Officer,High,2
Signal timing at in Block C of the housing society is off — green light too short causing congestion for the last 4 days.,Electrical Officer,Medium,6
This problem has been ignored for too long — commercial waste being mixed with residential garbage in Sector 12 for the past month.,Sanitation Officer,Medium,4
Street light pole knocked down on Maple Street — posing risk to passing traffic for the past 3 days.,Electrical Officer,High,1
Illegal connection to main drainage pipe near in the residential colony causing backup for residents for over a week.,Drainage Officer,Medium,5
Residents are complaining that broken electric meter box near the vegetable market exposed to rain — shock risk since this morning.,Electrical Officer,High,2
Underground cable fault near the main market causing power fluctuations for the past 2 days.,Electrical Officer,Medium,4
Waste not collected before festival season on Maple Street — piling up on roads since last night.,Sanitation Officer,High,1
Tap water tastes foul and has a strange odor on Elm Street since this morning.,Water Officer,High,2
I am writing to inform you that power outage affecting entire neighbourhood near the railway crossing for the past month — no electricity at all.,Electrical Officer,High,2
"Kindly send someone to fix this, highway onramp on Station Road has surface cracking — dangerous for heavy vehicles for 10 days now.",Road Officer,High,5
Waste not collected before festival season near the temple — piling up on roads for the past 2 days.,Sanitation Officer,High,1
"As a resident, I urge you to address the fact that open defecation being practiced near near the school — very unhygienic condition for 10 days now.",Sanitation Officer,High,1
Waste not collected before festival season in Sector 4 — piling up on roads for the past 3 days.,Sanitation Officer,High,1
We have noticed that foul odor from stormwater line in Sector 4 is affecting entire neighbourhood since the rain last week.,Drainage Officer,Medium,4
This is a serious issue — dirty brown water is coming from the taps in Block C of the housing society since yesterday — not safe to drink.,Water Officer,High,1
"Kindly send someone to fix this, large pothole in Sector 12 is getting bigger — cars are swerving unsafely for 10 days now.",Road Officer,High,6
Multiple families are affected as dead animal carcass lying on the highway service road for over a week — causing unbearable smell and health concern.,Sanitation Officer,High,2
Residents are complaining that dirty brown water is coming from the taps on Park Lane for 10 days now — not safe to drink.,Water Officer,High,2
I would like to report that broken electric meter box on Maple Street exposed to rain — shock risk since last night.,Electrical Officer,High,2
Illegal connection to main sewer near in the old city area causing backup for residents for 10 days now.,Drainage Officer,Medium,5
Please look into this urgently — waste not collected before festival season in Block C of the housing society — piling up on roads for 10 days now.,Sanitation Officer,High,2
Please look into this urgently — bulk garbage items like old furniture dumped on Park Lane — blocking the footpath for the last 4 days.,Sanitation Officer,Medium,4
We have noticed that drain cover missing on Oak Avenue — open sewer gutter accessible to pedestrians for the past month.,Drainage Officer,High,1
I am writing to inform you that commercial establishment near the flyover dumping refuse on the street after hours since yesterday.,Sanitation Officer,High,2
Missing signal head at near the bus depot junction — drivers confused about right of way for over a week.,Electrical Officer,High,3
Electric wire hanging low over the road on Elm Street since the rain last week — serious safety hazard.,Electrical Officer,High,2
Electrical meter board at on Elm Street appears to have faulty wiring — sparks visible.,Electrical Officer,High,2
Commercial establishment in Block C of the housing society dumping trash on the street after hours since last Monday.,Sanitation Officer,High,3
There is no hot water supply in the building on Elm Street since the rain last week.,Water Officer,Medium,4
This is a serious issue — electrical meter board at on Park Lane appears to have faulty wiring — sparks visible.,Electrical Officer,High,1
I wanted to bring to your attention that water meter at near the vegetable market is burstn and possibly causing billing errors.,Water Officer,Low,6
Pooling water after rain near the playground — drain is clearly insufficient for rainfall volume.,Drainage Officer,Medium,4
Dirty brown water is coming from the taps near the school for the past 3 days — not safe to drink.,Water Officer,High,2
"Kindly send someone to fix this, load shedding affecting entire neighbourhood on Station Road since yesterday — no electricity at all.",Electrical Officer,High,3
The situation is getting worse — tap water tastes foul and has a strange odor near the playground for the past 3 days.,Water Officer,High,1
The overhead water tank at near the flyover is overflowing and wasting water since yesterday.,Water Officer,Low,5
Sewage water mixing with drinking water connection near the flyover — serious health risk since last night.,Water Officer,High,1
This is a serious issue — the street light at the intersection in Block C of the housing society has been out since last night — very unsafe at night.,Electrical Officer,Medium,5
"As a resident, I urge you to address the fact that the street light at the intersection near the school has been out for the past month — very unsafe at night.",Electrical Officer,Medium,5
Our locality has been suffering because commercial waste being mixed with residential refuse on Oak Avenue since last Monday.,Sanitation Officer,Medium,4
Water is leaking from the main pipeline near the temple and flooding the road for the past month.,Water Officer,High,2
Our locality has been suffering because illegal dumping of construction waste noticed near the temple for 10 days now — blocking pedestrian path.,Sanitation Officer,Medium,4
Raised speed breaker in the downtown area is not painted — invisible at night and causing accidents.,Road Officer,High,6
"As a resident, I urge you to address the fact that sidewalk on Park Lane is cracked and uneven — elderly person tripped there recently.",Road Officer,Medium,9
Footpath near the flyover is completely blocked by debris and encroachment for several days.,Road Officer,Medium,10
Pooling water after rain on Cedar Road — drain is clearly insufficient for rainfall volume.,Drainage Officer,Medium,4
Please look into this urgently — no street lights installed on the new road on Cedar Road — dangerous after dark.,Electrical Officer,Medium,6
"As a resident, I urge you to address the fact that there is no hot water supply in the building in Ward 7 for the past 2 days.",Water Officer,Medium,4
This problem has been ignored for too long — basement flooding in on Maple Street area due to blocked drainage for the past month.,Drainage Officer,High,2
Please look into this urgently — electricity failure affecting entire neighbourhood near the main market for several days — no electricity at all.,Electrical Officer,High,3
Several complaints have been raised about this — water pressure is very low in Sector 12 — water barely reaches upper floors for the past 2 days.,Water Officer,Medium,4
Alley behind houses on 5th and Broadway filled with trash — breeding ground for mosquitoes for the last 4 days.,Sanitation Officer,High,2
Electric wire hanging low over the road near the temple since yesterday — serious safety hazard.,Electrical Officer,High,1
"As a resident, I urge you to address the fact that signal timing at near the railway crossing is off — green light too short causing congestion since last night.",Electrical Officer,Medium,6
Several complaints have been raised about this — road surface badly damaged in the old city area — rough patches causing damage to vehicles for the past 3 days.,Road Officer,Medium,10
Sewage pipe burst in Ward 7 — raw sewage flowing on road surface for over a week.,Drainage Officer,High,1
"Kindly send someone to fix this, there is a major main line burst on Cedar Road and water is gushing onto the road for several days.",Water Officer,High,2
Underground cable fault on the highway service road causing power fluctuations for 10 days now.,Electrical Officer,Medium,4
This is a serious issue — high voltage buzzing sound from substation unit in the residential colony since this morning — people are afraid.,Electrical Officer,High,1
Electric wire hanging low over the road on Cedar Road since the rain last week — serious safety hazard.,Electrical Officer,High,2
The situation is getting worse — manhole cover missing on in the old city area — open pit is extremely dangerous for pedestrians for the past 3 days.,Road Officer,High,5
Dead animal carcass lying on MG Road for the last 4 days — causing stench and health concern.,Sanitation Officer,High,1
Street light pole knocked down near the main market — posing risk to passing traffic for 10 days now.,Electrical Officer,High,2
Multiple families are affected as electrical meter board at on Cedar Road appears to have faulty wiring — sparks visible.,Electrical Officer,High,2
Construction debris left on road near the playground not cleared by contractor for the last 4 days.,Road Officer,Medium,9
Residents are complaining that construction debris left on highway in Block C of the housing society not cleared by contractor since yesterday.,Road Officer,Medium,9
Manhole cover missing on on Cedar Road — open pit is extremely dangerous for pedestrians since yesterday.,Road Officer,High,4
I am writing to inform you that road stretch collapse due to waterlogging near the vegetable market — several vehicles got stuck for the past month.,Road Officer,High,5
I would like to report that electricity pole tilting dangerously on Cedar Road since last night — risk of falling on pedestrians.,Electrical Officer,High,1
Please take immediate action — construction debris left on avenue in the old city area not cleared by contractor for the past month.,Road Officer,Medium,9
Large pothole on Maple Street is getting bigger — cars are swerving dangerously for over a week.,Road Officer,High,6
Pothole on the highway in Sector 4 caused a vehicle to lose control for the past 2 days.,Road Officer,High,4
Multiple families are affected as there is no hot water supply in the building near the railway crossing for several days.,Water Officer,Medium,4
Sewage pipe burst near the playground — raw sewage flowing on road surface since the rain last week.,Drainage Officer,High,2
Residents are complaining that street light pole knocked down on the highway service road — posing risk to passing traffic since last Monday.,Electrical Officer,High,1
Multiple families are affected as underground cable fault near the bus depot causing power fluctuations since last Monday.,Electrical Officer,Medium,4
Please look into this urgently — drainage canal near in the residential colony needs urgent desilting — overflow risk before monsoon.,Drainage Officer,Medium,5
Raised speed breaker near the playground is not painted — invisible at night and causing accidents.,Road Officer,High,5
Unauthorized electrical connection spotted at on Park Lane — risk of overloading.,Electrical Officer,Medium,5
Stormwater drain blocked near the flyover — entire road under water every time it rains for the last 4 days.,Drainage Officer,High,2
We have noticed that commercial waste being mixed with residential refuse in Block C of the housing society since yesterday.,Sanitation Officer,Medium,4
Please look into this urgently — water tanker not arriving on schedule near the temple for several days — community is suffering.,Water Officer,Medium,3
The overhead water tank at near the playground is overflowing and wasting water for several days.,Water Officer,Low,6
This problem has been ignored for too long — construction debris left on road stretch in Block C of the housing society not cleared by contractor for several days.,Road Officer,Medium,9
Residents are complaining that transformer on MG Road is sparking and making loud noises — several houses lost power for the past 3 days.,Electrical Officer,High,2
Missing signal head at near the vegetable market junction — drivers confused about right of way since this morning.,Electrical Officer,High,3
Foul odor from drainage pipe on Cedar Road is affecting entire neighbourhood for the past 3 days.,Drainage Officer,Medium,4
"As a resident, I urge you to address the fact that catch basin at near the playground requires repairing — broken cover creating fall hazard.",Drainage Officer,Medium,5
Underground water pipe leaking near in Block C of the housing society — road surface getting soft and dangerous.,Water Officer,High,1
Road collapse due to waterlogging on Cedar Road — several vehicles got stuck for the past 2 days.,Road Officer,High,4
Broken electric meter box on Elm Street exposed to rain — shock risk since the rain last week.,Electrical Officer,High,1
Rain water from highway on the highway service road not draining — entering residential plots since the rain last week.,Drainage Officer,High,3
Residents are complaining that guardrail on the highway on Elm Street is broken — vehicles at risk of going off road since last night.,Road Officer,High,5
Multiple families are affected as missing signal head at in Sector 12 junction — drivers confused about right of way since last Monday.,Electrical Officer,High,2
Water is leaking from the main pipeline in Ward 7 and flooding the road for the last 4 days.,Water Officer,High,2
Electric wire hanging low over the road on the highway service road for the last 4 days — serious safety hazard.,Electrical Officer,High,2
Unauthorized electrical connection spotted at on Maple Street — risk of overloading.,Electrical Officer,Medium,5
Drain cover missing on Oak Avenue — open stormwater line gutter accessible to pedestrians for the past 3 days.,Drainage Officer,High,2
Large pothole on MG Road is getting bigger — cars are swerving dangerously for the past month.,Road Officer,High,5
Residents are complaining that water meter at on Cedar Road is broken and possibly causing billing errors.,Water Officer,Low,6
Please take immediate action — catch basin at near the playground requires repairing — broken cover creating fall hazard.,Drainage Officer,Medium,5
Sewage water mixing with drinking municipal water near the vegetable market — serious health risk since last night.,Water Officer,High,2
The municipal water has been disrupted on Oak Avenue since the pipeline repair work began since last Monday.,Water Officer,Medium,3
Tap water tastes foul and has a strange odor near the hospital for the past 2 days.,Water Officer,High,2
I wanted to bring to your attention that trash not collected from our residential block near the hospital for the past 3 days — health hazard.,Sanitation Officer,High,3
Multiple families are affected as guardrail on the highway near the temple is broken — vehicles at risk of going off lane for the past 2 days.,Road Officer,High,5
Please look into this urgently — garbage bins at on Park Lane not disinfected — spreading disease risk for over a week.,Sanitation Officer,High,2
I wanted to bring to your attention that drainage infrastructure in the residential colony is old and collapsed — requires full replacement.,Drainage Officer,Low,6
Litter basket cover broken at near the playground — waste exposed to rain and pests since yesterday.,Sanitation Officer,Medium,5
Underground cable fault near the hospital causing power fluctuations for the past month.,Electrical Officer,Medium,4
Footpath near the temple is completely blocked by debris and encroachment for several days.,Road Officer,Medium,11
"As a resident, I urge you to address the fact that multiple sodium lights are not working near the flyover for the last 4 days — area is completely dark after 8 PM.",Electrical Officer,Medium,4
Raised speed breaker near the hospital is not painted — invisible at night and causing accidents.,Road Officer,High,5
This is a serious issue — expressway pothole on Elm Street is very deep — tyres of vehicles get badly maintained daily.,Road Officer,High,5
This problem has been ignored for too long — children falling into open drainage pit near the main market — emergency cover needed for the past 3 days.,Drainage Officer,High,2
I am writing to inform you that sweeping of road not done on 5th and Broadway for over a week — leaves and garbage scattered everywhere.,Sanitation Officer,Low,5
I wanted to bring to your attention that construction debris left on road in Ward 7 not cleared by contractor for several days.,Road Officer,Medium,8
Litter basket on Cedar Road is overfull — no collection in days since yesterday.,Sanitation Officer,Medium,4
Please look into this urgently — guardrail on the highway in Block C of the housing society is broken — vehicles at risk of going off highway since the rain last week.,Road Officer,High,5
Signal timing at near the vegetable market is off — green light too short causing congestion for the past 2 days.,Electrical Officer,Medium,6
Dead animal carcass lying near the temple since last night — causing foul smell and health concern.,Sanitation Officer,High,1
Street light pole knocked down in Ward 7 — posing risk to passing traffic for the past 3 days.,Electrical Officer,High,2
Please look into this urgently — drinking water supplied on Station Road appears discolored with visible sediment for the last 4 days.,Water Officer,High,1
Manhole cover missing on in Block C of the housing society — open pit is extremely life-threatening for pedestrians for 10 days now.,Road Officer,High,5
This is a serious issue — raised speed breaker in Block C of the housing society is not painted — invisible at night and causing accidents.,Road Officer,High,5
Road has completely caved in near the hospital — one lane blocked since last Monday.,Road Officer,High,4
Garbage not collected from our residential block on Elm Street since this morning — health hazard.,Sanitation Officer,High,3
Multiple families are affected as commercial establishment near the hospital dumping litter on the street after hours since the rain last week.,Sanitation Officer,High,2
Street light pole knocked down on Station Road — posing risk to passing traffic for 10 days now.,Electrical Officer,High,2
The overhead water tank at on Park Lane is overflowing and wasting water for several days.,Water Officer,Low,6
Drainage canal near in the old city area needs urgent desilting — overflow risk before monsoon.,Drainage Officer,Medium,5
Water meter at in Sector 4 is broken and possibly causing billing errors.,Water Officer,Low,5
Electricity pole tilting dangerously near the school for 10 days now — risk of falling on pedestrians.,Electrical Officer,High,1
